iter	Accuracy	MultiClass
95	0.6533536461	0.5959454201
96	0.6532562493	0.5957573832
97	0.6542575256	0.5945297132
98	0.6540565796	0.5943215259
99	0.6537556909	0.5942399544
100	0.654021778	0.59392241
101	0.6550365568	0.5938723117
102	0.6560962334	0.5925873019
103	0.6567228528	0.592129398
104	0.6564716208	0.5920114844
105	0.6556654961	0.5916984453
106	0.6559393759	0.5916130782
107	0.6564521569	0.590586784
108	0.6568610429	0.5895908015
109	0.6569375856	0.5893372165
110	0.6568480113	0.5891691075
111	0.6568533291	0.589135009
112	0.6566810984	0.5890987858
113	0.657051492	0.5890687204
114	0.65806629	0.588037193
115	0.6581092932	0.5879660149
116	0.6599930267	0.5871475437
117	0.6603425089	0.5864761558
118	0.6603981892	0.5864727566
119	0.6603663041	0.586460968
120	0.6601913259	0.5863303418
121	0.6603842991	0.5863213096
122	0.6608124065	0.5852521244
123	0.6611213605	0.5845763061
124	0.6616562002	0.5845411579
125	0.6622050558	0.5833821387
126	0.6625139443	0.5832246153
127	0.6630396176	0.5831680126
128	0.6630115321	0.5825882333
129	0.6633956772	0.5813579878
130	0.6639041379	0.5802028592
131	0.6644245209	0.5795603222
132	0.6646508266	0.5792981529
133	0.6655168622	0.5783845647
134	0.6651881635	0.5778401144
135	0.6660242931	0.576984637
136	0.6660129896	0.5769711772
137	0.6665827345	0.576323572
138	0.6662009012	0.5763051746
139	0.6662741894	0.5759272519
140	0.6662175932	0.5758851389
141	0.6669756041	0.5758080254
142	0.6677090922	0.5750990372
143	0.6684398983	0.5741206904
144	0.6686992693	0.5736296667
145	0.6690212548	0.5729216798
146	0.6696023225	0.5720018961
147	0.6696311221	0.5719630711
148	0.6698159265	0.5713988788
149	0.670699142	0.5707274299
150	0.67036334	0.5706693141
151	0.6703680555	0.5705747454
152	0.6705803348	0.5694970962
153	0.6705307027	0.5691773525
154	0.6705961683	0.5690855031
155	0.6713755596	0.5681001218
156	0.6726494942	0.5673489843
157	0.6730569819	0.566523427
158	0.6732604082	0.5664458175
159	0.6733308699	0.5664021149
160	0.6732682173	0.5662624645
161	0.6728541855	0.5662244858
162	0.6728872835	0.5662057126
163	0.6730601247	0.5661845133
164	0.672771022	0.5660831664
165	0.6732187081	0.5655790571
166	0.6737126436	0.5650100895
167	0.6734390854	0.5646026236
168	0.6737848007	0.5638300865
169	0.6739687928	0.5632697741
170	0.6738075439	0.5631717334
171	0.6739802682	0.5625193882
172	0.6745133991	0.5616467445
173	0.6746136417	0.561632226
174	0.6745471322	0.5616118839
175	0.6747106789	0.5615744407
176	0.6750290392	0.5615276193
177	0.6751478546	0.5612453988
178	0.6753133692	0.5611601268
179	0.6755856683	0.5603918232
180	0.6764242863	0.5596279535
181	0.6765123014	0.5596118134
182	0.6770643186	0.5593457838
183	0.6767361761	0.558781436
184	0.6772122991	0.5587492453
185	0.6769845162	0.5587298884
186	0.6768429331	0.5587143356
187	0.6782239357	0.5578435294
188	0.6785021193	0.5576965859
189	0.6784987449	0.5576642589
190	0.6782924922	0.557653154
191	0.6793429942	0.5569173928
192	0.6794344464	0.5563339424
193	0.6792574347	0.5562804094
194	0.6797321595	0.5562533913
195	0.680106996	0.5561987015
196	0.6802723825	0.5561714595
197	0.6804791289	0.5557593255
198	0.6805811622	0.5557230104
199	0.6808523981	0.5557029933
200	0.6811404242	0.5556809709
201	0.6808940901	0.5551475586
202	0.6808198153	0.5546628655
203	0.6810327707	0.5540162037
204	0.6808974539	0.553966146
205	0.6809971596	0.5538726267
206	0.6812139608	0.5538586721
207	0.6806414193	0.5538390067
208	0.6813233618	0.5537333807
209	0.681946953	0.5529959483
210	0.6823263359	0.5529614683
211	0.6822535191	0.5527468364
212	0.682558777	0.5527320525
213	0.6824304735	0.5526951261
214	0.6827994852	0.5525680206
215	0.6827254882	0.5524399335
216	0.6826013223	0.5524003979
217	0.6827686604	0.5523750636
218	0.6827561441	0.5523652668
219	0.682830937	0.5519821621
220	0.6832279499	0.5512686212
221	0.6833608162	0.5512441914
222	0.6837549045	0.5506002201
223	0.6840068997	0.5505833527
224	0.6839365661	0.5505711404
225	0.6838959151	0.5502188463
226	0.6838580227	0.5497100899
227	0.6843742219	0.5489389088
228	0.684377918	0.5488632641
229	0.684424064	0.5486466279
